Abbreviation,Name,Year,Price,Adjusted price
APTV,Apple TV,2015,149.0,146.66760567380817
N3DS,New Nintendo 3DS,2014,199.99,196.8213321553912
FIRE,Amazon Fire TV,2014,99.0,97.43143098846807
XONE,Xbox One,2013,499.0,499.0
PS4,PlayStation 4,2013,399.0,399.0
OUYA,Ouya,2013,99.0,99.0
WIIU,Wii U,2012,299.0,303.3778887195122
VITA,PlayStation Vita,2012,249.0,252.64580030487807
3DS,Nintendo 3DS,2011,249.0,257.891618342919
IPAD,iPad,2010,499.0,533.0610631453688
ZBO,Zeebo,2009,280.0,304.0076029914835
DIDJ,Leapfrog Didj,2008,90.0,97.40368657064845
IPHN,iPhone,2007,599.0,673.0070611262274
Wii,Wii,2006,249.0,287.7949762268987
PS3,PlayStation 3,2006,599.0,692.326067308885
HSCN,HyperScan,2006,70.0,80.90621821639724
X360,Xbox 360,2005,399.0,476.0246069477638
GIZ,Gizmondo,2005,229.0,273.20710524069654
GWAV,Game Wave,2005,99.0,118.11136864117447
VSML,V.Smile,2005,90.0,107.3739714919768
PSP,PlayStation Portable,2005,249.0,297.06798779446916
DS,Nintendo DS,2004,149.0,183.74679474171782
XAVX,XaviXPORT,2004,79.0,97.42279721205172
LEAP,Leapster,2003,80.0,101.28771739130435
ZOD,Zodiac,2003,299.0,378.56284375
NGE,N-Gage,2003,299.0,378.56284375
GP32,GamePark 32,2001,160.0,210.5373311367381
XBOX,Xbox,2001,299.0,393.44163756177926
IPOD,iPod,2001,399.0,525.0274695222406
GCN,GameCube,2001,199.0,261.855805601318
GBA,Game Boy Advance,2001,100.0,131.58583196046132
WSC,WonderSwan Color,2000,59.0,79.82234864250108
PS2,PlayStation 2,2000,299.0,404.52342786623433
64DD,Nintendo 64DD,1999,300.0,419.5409204602302
NGPC,Neo Geo Pocket Color,1999,70.0,97.89288144072039
DC,Dreamcast,1998,199.0,284.3988850263279
GBC,Game Boy Color,1998,70.0,100.03980880323091
GCOM,Game.Com,1997,70.0,101.58743186419562
N64,Nintendo 64,1996,199.0,295.5494124209744
PIPN,Pippin,1995,599.0,915.7437706442087
VBOY,Virtual Boy,1995,179.0,273.65297987531443
BS-X,Satellaview,1995,145.0,221.67420157497537
32X,Sega 32X,1994,159.0,249.8965643447462
PS1,PlayStation,1994,299.0,469.93127508854786
SAT,Saturn,1994,399.0,627.0989256198349
NGCD,Neo Geo CD,1994,300.0,471.50295159386076
PDIA,Bandai Playdia,1994,295.0,463.6445690672964
JAG,Jaguar,1993,250.0,403.1177539366673
CD32,Amiga CD32,1993,250.0,403.1177539366673
3DO,3DO,1993,700.0,1128.7297110226684
LACT,Pioneer LaserActive,1993,970.0,1564.0968852742692
DUCK,Mega Duck,1993,72.0,116.09791313376019
VIS,Memorex MD 2500 VIS,1992,699.0,1160.5886790996024
SCD,Sega CD,1992,299.0,496.4463734632062
SVIS,Watara Supervision,1992,50.0,83.01778820454953
CDI,CD-i,1991,700.0,1197.6001835985314
CDTV,Commodore CDTV,1991,799.0,1366.9750667074666
SNES,Super Nintendo Entertainment System,1990,199.0,354.81386504241345
GG,Game Gear,1990,150.0,267.4476369666433
NEO,Neo Geo,1990,650.0,1158.9397601887877
SGFX,SuperGrafx,1989,300.0,563.8824043568883
LYNX,Atari Lynx,1989,190.0,357.1255227593626
GB,Game Boy,1989,179.0,336.44983459961
FMT,FM Towns,1989,3000.0,5638.824043568884
TGCD,TurboGrafx-CD,1988,400.0,787.864722046079
GEN,Genesis,1988,189.0,372.2660811667723
TG16,TurboGrafx-16,1987,199.0,408.03334237934587
ACRN,Acorn Archimedes,1987,1499.0,3073.577790083615
X68K,Sharp X68000,1987,3000.0,6151.256417779083
AMAX,Action Max,1986,99.0,210.25492592873965
A2GS,Apple IIgs,1986,1000.0,2123.78713059333
7800,Atari 7800,1986,140.0,297.3301982830662
AMI,Amiga,1985,1295.0,2803.7682736988845
SMS,Sega Master System,1985,200.0,433.01440520446096
AST,Atari ST,1985,1000.0,2165.0720260223047
C128,Commodore 128,1985,300.0,649.5216078066915
HALC,RDI Halcyon,1984,2500.0,5603.634140474664
C16,Commodore 16,1984,99.0,221.90391196279668
CPC,Amstrad CPC,1984,800.0,1793.1629249518924
MAC,Mac,1984,2495.0,5592.426872193714
PV1K,Casio PV-1000,1983,63.54,148.6432427949791
FDS,Famicom Disk System,1983,150.0,350.90472803347285
NES,Nintendo Entertainment System,1983,199.0,465.53360585774067
SG1K,Sega SG-1000,1983,241.0,563.7869297071131
AQUA,Aquarius,1983,160.0,374.2983765690377
VECT,Vectrex,1982,199.0,480.2422815953038
AVIS,Adventure Vision,1982,70.0,168.9294457872928
FM7,FM-7,1982,500.0,1206.6388984806626
PC98,NEC PC-9801,1982,1400.0,3378.588915745856
C64,Commodore 64,1982,595.0,1435.9002891919888
CVIS,ColecoVision,1982,200.0,482.65555939226505
DRAG,Dragon 32/64,1982,450.0,1085.9750086325964
SPEC,ZX Spectrum,1982,249.0,600.9061714433701
5200,Atari 5200,1982,270.0,651.5850051795579
A2K1,Arcadia 2001,1982,200.0,482.65555939226505
BBCM,BBC Micro,1981,399.0,1022.1965350073317
PC,PC,1981,1565.0,4009.367361620235
CASV,Epoch Cassette Vision,1981,135.0,345.8559704912024
TI99,TI-99/4A,1981,525.0,1344.9954407991206
COCO,TRS-80 CoCo,1980,399.0,1128.283288488772
TRS8,TRS-80,1980,600.0,1696.6665992312362
VC20,VIC-20,1980,300.0,848.3332996156181
A800,Atari 8-bit,1979,1000.0,3209.5763490241106
